# ACTS Test Suite Generation: Sat Sep 26 20:39:43 EEST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 4
# Maximum number of values per parameter: 173
# Number of configurations: 21815
mbap_transaction,mbap_protocol,mbap_len,mbap_slave
3,2043,65530,37
3,2044,65531,59
3,2045,65532,60
3,2046,65533,61
3,2047,65534,62
3,2048,65535,63
3,2049,0,64
3,2050,1,65
3,2051,2,66
3,2052,3,67
3,4091,4,68
3,4092,5,69
3,4093,6,123
3,4094,7,124
3,4095,8,125
3,4096,9,126
3,4097,10,127
3,4098,11,128
3,4099,12,129
3,4100,13,130
3,4101,14,131
3,8187,15,132
3,8188,16,133
3,8189,32,251
3,8190,64,252
3,8191,124,253
3,8192,125,254
3,8193,126,255
3,8194,127,0
3,8195,128,1
3,8196,129,2
3,8197,251,3
3,16379,252,4
3,16380,253,5
3,16381,254,6
3,16382,255,7
3,16383,256,31
3,16384,257,32
3,16385,258,33
3,16386,259,34
3,16387,260,35
3,16388,261,36
3,16389,262,37
3,32763,263,59
3,32764,264,60
3,32765,265,61
3,32766,1021,62
3,32767,1022,63
3,32768,1023,64
3,32769,1024,65
3,32770,1025,66
3,32771,1026,67
3,32772,1027,68
3,32773,1458,69
3,65280,1459,123
3,65530,1460,124
3,65531,1461,125
3,65532,1462,126
3,65533,2045,127
3,65534,2046,128
3,65535,2047,129
4,0,2048,130
4,1,2049,131
4,2,2050,132
4,3,2051,133
4,4,2052,251
4,5,4092,252
4,6,4093,253
4,7,4094,254
4,8,4095,255
4,9,4096,0
4,10,4097,1
4,31,4098,2
4,32,4099,3
4,33,8190,4
4,34,8191,5
4,61,8192,6
4,62,8193,7
4,63,8194,8
4,64,8195,9
4,65,32764,10
4,66,32765,11
4,67,32766,12
4,68,32767,13
4,69,32768,14
4,125,32769,15
4,126,32770,16
4,127,32771,17
4,128,32772,18
4,129,32773,19
4,130,65530,20
4,131,65531,21
4,251,65532,27
4,252,65533,28
4,253,65534,29
4,254,65535,30
4,255,0,31
4,256,1,32
4,257,2,33
4,258,3,34
4,259,4,35
4,260,5,36
4,261,6,37
4,507,7,59
4,508,8,60
4,509,9,61
4,510,10,62
4,511,11,63
4,512,12,64
4,513,13,65
4,514,14,66
4,515,15,67
4,516,16,68
4,517,32,69
4,1019,64,123
4,1021,124,124
4,1022,125,125
4,1023,126,126
4,1024,127,127
4,1025,128,128
4,1026,129,129
4,1027,251,130
4,1028,252,131
4,1029,253,132
4,2041,254,133
4,2042,255,251
4,2043,256,252
4,2044,257,253
4,2045,258,254
4,2046,259,255
4,2047,260,0
4,2048,261,1
4,2049,262,2
4,2050,263,3
4,2051,264,4
4,2052,265,5
4,4091,1021,6
4,4092,1022,7
4,4093,1023,8
4,4094,1024,9
4,4095,1025,10
4,4096,1026,11
4,4097,1027,12
4,4098,1458,13
4,4099,1459,14
4,4100,1460,15
4,4101,1461,16
4,8187,1462,17
4,8188,2045,18
4,8189,2046,19
4,8190,2047,20
4,8191,2048,21
4,8192,2049,27
4,8193,2050,28
4,8194,2051,29
4,8195,2052,30
4,8196,4092,31
4,8197,4093,32
4,16379,4094,33
4,16380,4095,34
4,16381,4096,35
4,16382,4097,36
4,16383,4098,37
4,16384,4099,59
4,16385,8190,60
4,16386,8191,61
4,16387,8192,62
4,16388,8193,63
4,16389,8194,64
4,32763,8195,65
4,32764,32764,66
4,32765,32765,67
4,32766,32766,68
4,32767,32767,69
4,32768,32768,123
4,32769,32769,124
4,32770,32770,125
4,32771,32771,126
4,32772,32772,127
4,32773,32773,128
4,65280,65530,129
4,65530,65531,130
4,65531,65532,131
4,65532,65533,132
4,65533,65534,133
4,65534,65535,251
4,65535,0,252
5,0,2,253
5,1,3,254
5,2,4,255
5,3,5,0
5,4,6,2
5,5,7,3
5,6,8,4
5,7,9,5
5,8,10,6
5,9,11,7
5,10,12,8
5,31,13,9
5,32,14,10
5,33,15,11
5,34,16,12
5,61,32,13
5,62,64,14
5,63,124,15
5,64,125,16
5,65,126,17
5,66,127,18
5,67,128,19
5,68,129,20
5,69,251,21
5,125,252,27
5,126,253,28
5,127,254,29
5,128,255,30
5,129,256,1
5,130,257,31
5,131,258,32
5,251,259,33
5,252,260,34
5,253,261,35
5,254,262,36
