# ACTS Test Suite Generation: Wed Mar 18 20:43:59 EET 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 5
# Maximum number of values per parameter: 75
# Number of configurations: 5667
Byte_count,Reference_Type,File_number,Record_number,Record_length
7,10,4,65521,65532
8,11,4,65527,65533
9,12,4,65528,65534
10,13,4,65529,65535
11,14,4,65530,0
12,15,4,65531,1
13,16,4,65532,2
14,17,4,65533,3
15,18,4,65534,4
16,19,4,65535,5
17,20,5,0,7
18,21,5,1,8
19,27,5,2,9
20,28,5,3,15
21,29,5,4,16
27,30,5,5,17
28,31,5,7,31
29,32,5,8,32
30,33,5,9,33
31,34,5,15,63
32,35,5,16,64
33,36,5,17,65
34,37,5,31,116
35,62,5,32,117
36,63,5,33,118
37,64,5,63,119
59,65,5,64,120
60,66,5,65,121
61,67,5,127,122
62,68,5,128,123
63,69,5,129,124
64,123,5,255,125
65,124,5,256,126
66,125,5,257,127
67,126,5,511,128
68,127,5,512,129
69,128,5,513,255
123,129,5,1023,256
124,130,5,1024,257
125,132,5,1025,511
126,133,5,2047,512
127,251,5,2048,513
128,252,5,2049,1023
129,253,5,4095,1024
130,254,5,4096,1025
131,255,5,4097,2047
132,0,5,8191,2048
133,1,5,8192,2049
251,2,5,8193,4095
252,3,5,9993,4096
253,4,5,9994,4097
254,5,5,9995,8191
255,60,5,9996,8192
0,61,5,9997,8193
1,59,5,9998,16383
2,131,5,9999,16384
3,7,5,10000,16385
4,8,5,10001,32767
5,9,5,10002,32768
6,10,5,10003,32769
7,11,5,10004,65471
8,12,5,16383,65472
9,13,5,16384,65473
10,14,5,16385,65503
11,15,5,32767,65504
12,16,5,32768,65505
13,17,5,32769,65519
14,18,5,65471,65520
15,19,5,65472,65521
16,20,5,65473,65527
17,21,5,65503,65528
18,27,5,65504,65529
19,28,5,65505,65530
20,6,5,65519,65531
21,30,5,65520,65532
27,31,5,65521,65533
28,32,5,65527,65534
29,33,5,65528,65535
30,34,5,65529,0
31,35,5,65530,1
32,36,5,65531,2
33,37,5,65532,3
34,59,5,65533,4
35,60,5,65534,5
36,61,5,65535,7
37,62,7,0,8
59,63,7,1,9
60,64,7,2,15
61,65,7,3,16
62,66,7,4,17
63,67,7,5,31
64,68,7,7,32
65,69,7,8,33
66,123,7,9,63
67,124,7,15,64
68,125,7,16,65
69,126,7,17,116
123,127,7,31,117
124,128,7,32,118
125,129,7,33,119
126,130,7,63,120
127,133,7,64,121
128,251,7,65,122
129,252,7,127,123
130,253,7,128,124
131,254,7,129,125
132,255,7,255,126
133,0,7,256,127
251,1,7,257,128
252,2,7,511,129
253,3,7,512,255
254,4,7,513,256
255,5,7,1023,257
0,29,7,1024,511
1,30,7,1025,512
2,31,7,2047,513
3,32,7,2048,1023
4,132,7,2049,1024
5,10,7,4095,1025
6,11,7,4096,2047
7,12,7,4097,2048
8,13,7,8191,2049
9,14,7,8192,4095
10,15,7,8193,4096
11,16,7,9993,4097
12,17,7,9994,8191
13,18,7,9995,8192
14,19,7,9996,8193
15,20,7,9997,16383
16,21,7,9998,16384
17,27,7,9999,16385
18,28,7,10000,32767
19,33,7,10001,32768
20,34,7,10002,32769
21,35,7,10003,65471
27,36,7,10004,65472
28,37,7,16383,65473
29,59,7,16384,65503
30,60,7,16385,65504
31,61,7,32767,65505
32,131,7,32768,65519
33,6,7,32769,65520
34,7,7,65471,65521
35,8,7,65472,65527
36,9,7,65473,65528
37,29,7,65503,65529
