# ACTS Test Suite Generation: Thu Nov 04 11:35:24 EET 2021
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 6
# Maximum number of values per parameter: 183
# Number of configurations: 7267
Data_length,Reference_Type,File_number,Record_number,Record_length,Record_data
34,32,65472,1023,255,9
35,33,65473,1024,256,9
36,34,65503,1025,257,9
37,35,65504,2047,511,9
59,36,65505,2048,512,9
60,37,65519,2049,513,9
61,59,65520,4095,1023,9
62,60,65521,4096,1024,9
63,61,65527,4097,1025,9
64,62,65528,8191,2047,9
65,63,65529,8192,2048,9
66,64,65530,8193,2049,9
67,65,65531,9993,4095,9
68,66,65532,9994,4096,9
69,67,65533,9995,4097,9
123,68,65534,9996,8191,9
124,69,65535,9997,8192,9
125,123,0,9998,8193,9
126,124,1,9999,16383,9
127,125,2,10000,16384,9
128,126,3,10001,16385,9
129,127,4,10002,32767,9
130,128,5,10003,32768,9
131,129,7,10004,32769,9
132,130,8,16383,65471,9
133,255,9,16384,65472,9
251,0,10,16385,65473,9
252,133,11,32767,65503,9
253,251,12,32768,65504,9
254,252,13,32769,65505,9
255,253,14,65471,65519,9
0,254,15,65472,65520,9
1,131,16,65473,65521,9
2,1,17,65503,65527,9
3,6,31,65504,65528,9
4,7,32,65505,65529,9
5,8,33,65519,65530,9
6,9,63,65520,65531,9
7,10,64,65521,65532,9
8,11,65,65527,65533,9
9,12,127,65528,65534,9
10,13,128,65529,65535,9
11,14,129,65530,0,9
12,15,255,65531,1,9
13,16,256,65532,2,9
14,17,257,65533,3,9
15,18,511,65534,4,9
16,19,512,65535,5,9
17,20,513,0,7,11
18,21,1023,1,8,11
19,27,1024,2,9,11
20,28,1025,3,15,11
21,29,2047,4,16,11
27,30,2048,5,17,11
28,31,2049,7,31,11
29,32,4095,8,32,11
30,33,4096,9,33,11
31,34,4097,15,63,11
32,35,8191,16,64,11
33,36,8192,17,65,11
34,37,8193,31,116,11
35,62,10000,32,117,11
36,63,16383,33,118,11
37,64,16384,63,119,11
59,65,16385,64,120,11
60,66,32767,65,121,11
61,67,32768,127,122,11
62,68,32769,128,123,11
63,69,65471,129,124,11
64,123,65472,255,125,11
65,124,65473,256,126,11
66,125,65503,257,127,11
67,126,65504,511,128,11
68,127,65505,512,129,11
69,128,65519,513,255,11
123,129,65520,1023,256,11
124,130,65521,1024,257,11
125,132,65527,1025,511,11
126,133,65528,2047,512,11
127,251,65529,2048,513,11
128,252,65530,2049,1023,11
129,253,65531,4095,1024,11
130,254,65532,4096,1025,11
