18,9,257,5,8
19,10,511,5,9
20,11,512,5,15
21,12,513,5,16
27,13,1023,5,17
28,14,1024,5,31
29,15,1025,5,32
30,16,2047,5,33
31,17,2048,5,63
32,18,2049,5,64
33,19,4095,5,65
34,20,4096,5,116
35,21,4097,5,117
36,27,8191,5,118
37,28,8192,5,119
59,29,8193,5,120
60,30,10000,5,121
61,31,16383,5,122
62,32,16384,5,123
63,33,16385,5,124
64,34,20000,5,125
65,35,32767,5,126
66,36,32768,5,127
67,37,32769,5,128
68,59,65471,5,129
69,60,65472,5,255
123,61,65473,5,256
124,62,65503,5,257
125,63,65504,5,511
126,64,65505,5,512
127,65,65519,5,513
128,66,65520,5,1023
129,67,65521,5,1024
130,68,65527,5,1025
131,69,65528,5,2047
132,123,65529,5,2048
133,124,65530,5,2049
251,125,65531,5,4095
252,126,65532,5,4096
253,127,65533,5,4097
254,2,65534,5,8191
255,3,65535,5,8192
0,4,0,5,8193
2,128,1,5,16383
3,129,2,5,16384
4,130,3,5,16385
5,131,4,5,32767
6,132,5,5,32768
7,133,7,5,32769
8,251,8,5,65471
9,252,9,5,65472
10,253,10,5,65473
1,254,11,5,65503
12,255,12,5,65504
13,0,13,5,65505
14,1,14,5,65519
15,3,15,5,65520
16,4,16,5,65521
17,5,17,5,65527
18,6,31,5,65528
19,7,32,5,65529
20,8,33,5,65530
21,9,63,5,65531
27,10,64,5,65532
28,11,65,5,65533
29,12,127,5,65534
30,13,128,5,65535
31,14,129,7,0
32,15,255,7,1
33,16,256,7,2
34,17,257,7,3
35,18,511,7,4
36,19,512,7,5
37,20,513,7,7
59,21,1023,7,8
60,27,1024,7,9
61,28,1025,7,15
62,29,2047,7,16
63,30,2048,7,17
64,31,2049,7,31
65,32,4095,7,32
66,33,4096,7,33
67,34,4097,7,63
68,35,8191,7,64
69,36,8192,7,65
123,37,8193,7,116
124,59,10000,7,117
125,60,16383,7,118
126,61,16384,7,119
127,62,16385,7,120
128,63,20000,7,121
129,64,32767,7,122
130,65,32768,7,123
131,66,32769,7,124
132,67,65471,7,125
133,68,65472,7,126
251,69,65473,7,127
252,123,65503,7,128
253,124,65504,7,129
254,126,65505,7,255
255,127,65519,7,256
0,2,65520,7,257
11,125,65521,7,511
12,128,65527,7,512
13,129,65528,7,513
14,130,65529,7,1023
15,131,65530,7,1024
16,132,65531,7,1025
17,133,65532,7,2047
18,251,65533,7,2048
19,252,65534,7,2049
20,253,65535,7,4095
21,254,0,7,4096
27,255,1,7,4097
28,0,2,7,8191
29,1,3,7,8192
30,3,4,7,8193
1,4,5,7,16383
2,5,7,7,16384
3,6,8,7,16385
4,7,9,7,32767
5,8,10,7,32768
6,9,11,7,32769
7,10,12,7,65471
8,11,13,7,65472
9,12,14,7,65473
10,13,15,7,65503
11,14,16,7,65504
32,17,17,7,65505
33,18,31,7,65519
34,19,32,7,65520
35,20,33,7,65521
36,21,63,7,65527
37,27,64,7,65528
59,28,65,7,65529
60,29,127,7,65530
61,30,128,7,65531
62,31,129,7,65532
63,32,255,7,65533
64,33,256,7,65534
65,34,257,7,65535
66,35,511,8,0
67,36,512,8,1
68,37,513,8,2
69,59,1023,8,3
123,60,1024,8,4
124,61,1025,8,5
125,62,2047,8,7
126,63,2048,8,8
127,64,2049,8,9
128,65,4095,8,15
129,66,4096,8,16
130,67,4097,8,17
131,68,8191,8,31
132,69,8192,8,32
133,123,8193,8,33
251,124,10000,8,63
252,125,16383,8,64
253,2,16384,8,65
254,15,16385,8,116
255,16,20000,8,117
0,126,32767,8,118
31,127,32768,8,119
32,128,32769,8,120
33,129,65471,8,121
34,130,65472,8,122
35,131,65473,8,123
36,132,65503,8,124
37,133,65504,8,125
59,251,65505,8,126
60,252,65519,8,127
61,253,65520,8,128
62,254,65521,8,129
63,255,65527,8,255
64,0,65528,8,256
65,1,65529,8,257
1,6,65530,8,511
2,7,65531,8,512
3,8,65532,8,513
4,9,65533,8,1023
5,10,65534,8,1024
6,11,65535,8,1025
7,12,0,8,2047
8,13,1,8,2048
9,14,2,8,2049
10,17,3,8,4095
11,18,4,8,4096
12,19,5,8,4097
13,20,7,8,8191
14,21,8,8,8192
15,27,9,8,8193
16,28,10,8,16383
17,29,11,8,16384
18,30,12,8,16385
19,31,13,8,32767
20,32,14,8,32768
21,33,15,8,32769
27,34,16,8,65471
28,3,17,8,65472
29,4,31,8,65473
30,5,32,8,65503
31,36,33,8,65504
67,60,63,8,65505
68,61,64,8,65519
69,62,65,8,65520
123,63,127,8,65521
124,64,128,8,65527
125,65,129,8,65528
126,66,255,8,65529
127,67,256,8,65530
128,68,257,8,65531
129,69,511,8,65532
130,123,512,8,65533
131,124,513,8,65534
132,125,1023,8,65535
133,127,1024,9,0
251,16,1025,9,1
252,35,2047,9,2
253,37,2048,9,3
254,59,2049,9,4
255,2,4095,9,5
0,15,4096,9,7
1,126,4097,9,8
66,128,8191,9,9
67,129,8192,9,15
68,130,8193,9,16
69,131,10000,9,17
123,132,16383,9,31
124,133,16384,9,32
125,251,16385,9,33
126,252,20000,9,63
127,253,32767,9,64
128,254,32768,9,65
129,255,32769,9,116
130,0,65471,9,117
131,1,65472,9,118
132,3,65473,9,119
