10000,17,13
16379,18,13
16380,19,13
16381,20,13
16382,21,13
16383,27,13
16384,28,13
16385,29,13
16386,30,13
16387,31,13
16388,32,13
16389,33,13
20000,34,13
32763,35,13
32764,36,13
32765,37,13
32766,59,13
32767,60,13
32768,61,13
32769,62,13
32770,63,13
32771,64,13
32772,65,13
32773,66,13
65530,67,13
65531,68,13
65532,69,13
65533,123,13
65534,124,13
65535,125,13
0,126,15
1,127,15
2,128,15
3,129,15
4,130,15
5,131,15
6,132,15
7,133,15
8,251,15
9,252,15
15,253,15
16,254,15
17,255,15
30,0,15
31,1,15
32,2,15
33,3,15
34,4,15
61,5,15
62,6,15
63,7,15
64,8,15
65,9,15
111,10,15
112,11,15
113,12,15
114,13,15
115,14,15
116,15,15
117,16,15
118,17,15
119,18,15
120,19,15
121,20,15
122,21,15
123,27,15
124,28,15
125,29,15
126,30,15
127,31,15
128,32,15
129,33,15
130,34,15
131,35,15
132,36,15
133,37,15
134,59,15
251,60,15
252,61,15
253,62,15
254,63,15
255,64,15
256,65,15
257,66,15
258,67,15
259,68,15
260,69,15
261,123,15
507,124,15
508,125,15
509,126,15
510,127,15
511,128,15
512,129,15
513,130,15
514,131,15
515,132,15
516,133,15
517,251,15
1019,252,15
1020,253,15
1021,254,15
1022,255,15
1023,0,15
1024,1,15
1025,2,15
1026,3,15
1027,4,15
1028,5,15
1029,6,15
2043,7,15
2044,8,15
2045,9,15
2046,10,15
2047,11,15
2048,12,15
2049,13,15
2050,14,15
2051,15,15
2052,16,15
2053,17,15
4091,18,15
4092,19,15
4093,20,15
4094,21,15
4095,27,15
4096,28,15
4097,29,15
4098,30,15
4099,31,15
4100,32,15
4101,33,15
5000,34,15
8187,35,15
8188,36,15
8189,37,15
8190,59,15
8191,60,15
8192,61,15
8193,62,15
8194,63,15
8195,64,15
8196,65,15
8197,66,15
10000,67,15
16379,68,15
16380,69,15
16381,123,15
16382,124,15
16383,125,15
16384,126,15
16385,127,15
16386,128,15
16387,129,15
16388,130,15
16389,131,15
20000,132,15
32763,133,15
32764,251,15
32765,252,15
32766,253,15
32767,254,15
32768,255,15
32769,0,15
32770,1,15
32771,2,15
32772,3,15
32773,4,15
65530,5,15
65531,6,15
65532,7,15
65533,8,15
65534,9,15
65535,10,15
0,11,17
1,12,17
2,13,17
3,14,17
4,15,17
5,16,17
6,17,17
7,18,17
8,19,17
9,20,17
15,21,17
16,27,17
17,28,17
30,29,17
31,30,17
32,31,17
33,32,17
34,33,17
61,34,17
62,35,17
63,36,17
64,37,17
65,59,17
111,60,17
112,61,17
113,62,17
114,63,17
115,64,17
116,65,17
117,66,17
118,67,17
119,68,17
120,69,17
121,123,17
122,124,17
123,125,17
124,126,17
125,127,17
126,128,17
127,129,17
128,130,17
129,131,17
130,132,17
131,133,17
132,251,17
133,252,17
134,253,17
251,254,17
252,255,17
